Running script...
Total steps: 10000000
Num levels: 10000
Game: jumper
Model: 1
Augmentation mode: 5
nr_features: 512
P_10_10000_jumper_1_5_512
Step: 344064	(16.058780670166016,7.627184867858887)
Step: 688128	(8.027132987976074,10.466611862182617)
Step: 1032192	(16.820924758911133,14.423117637634277)
Step: 1376256	(15.669561386108398,14.656421661376953)
Step: 1720320	(12.203432083129883,15.463798522949219)
Step: 2064384	(9.42862606048584,11.266507148742676)
Step: 2408448	(9.916464805603027,13.810626029968262)
Step: 2752512	(11.104987144470215,13.228203773498535)
Step: 3096576	(22.511369705200195,16.228761672973633)
Step: 3440640	(28.24030876159668,19.955867767333984)
Step: 3784704	(30.148122787475586,16.430187225341797)
Step: 4128768	(27.3669490814209,20.698522567749023)
Step: 4472832	(27.498472213745117,18.77475357055664)
Step: 4816896	(20.151229858398438,17.85427474975586)
Done...
